iter	RMSE
0	35.01407437
1	31.6117143
2	29.39583356
3	28.14124897
4	27.46194567
5	26.50008691
6	25.96930596
7	25.58613279
8	25.51088882
9	25.44043264
10	25.20707714
11	24.97291892
12	24.86794755
13	24.81861444
14	24.76530582
15	24.61568195
16	24.58053998
17	24.46762449
18	24.44973697
19	24.32308117
20	24.26049373
21	23.89895658
22	23.82666179
23	23.68338296
24	23.57971823
25	23.40560562
26	23.20903479
27	23.07681413
28	23.05945013
29	22.92025899
30	22.72866204
31	22.60792513
32	22.59017877
33	22.5032603
34	22.44104321
35	22.33261922
36	22.28791595
37	22.27387996
38	22.22585085
39	22.18756213
40	22.14285097
41	22.06327547
42	22.02453234
43	21.85364552
44	21.79751384
45	21.78587969
46	21.73802172
47	21.6555857
48	21.60560332
49	21.5945425
50	21.56657103
51	21.55709832
52	21.50257921
53	21.43250885
54	21.3969642
55	21.34841107
56	21.32442285
57	21.30438924
58	21.23976373
59	21.20539625
60	21.12626736
61	21.09062613
62	21.02400976
63	20.99044808
64	20.98482809
65	20.96659803
66	20.91865078
67	20.8839142
68	20.8684715
69	20.85223978
70	20.80244971
71	20.74930033
72	20.72880581
73	20.6829728
74	20.65915184
75	20.65425394
76	20.63336286
77	20.59971123
78	20.56861283
79	20.54277878
80	20.49963751
81	20.4667216
82	20.43687484
83	20.38256459
84	20.35240713
85	20.32000775
86	20.29442485
87	20.26511923
88	20.24184777
89	20.2207444
90	20.207013
91	20.19743755
92	20.17764355
93	20.16372135
94	20.14240849
95	20.11791733
96	20.11490454
97	20.08318248
98	20.059523
99	20.04700809
