iter	Passed	Remaining
0	142	14139
1	144	7065
2	145	4710
3	147	3530
4	148	2821
5	150	2350
6	151	2012
7	153	1763
8	154	1564
9	155	1402
10	157	1274
11	159	1167
12	160	1076
13	162	996
14	163	925
15	164	863
16	165	808
17	166	759
18	167	714
19	168	674
20	169	638
21	170	606
22	172	576
23	173	549
24	174	523
25	175	500
26	176	478
27	178	458
28	179	438
29	180	420
30	181	403
31	182	387
32	183	372
33	185	359
34	186	346
35	187	333
36	188	321
37	189	309
38	190	298
39	192	288
40	192	277
41	193	267
42	194	258
43	196	249
44	197	241
45	198	233
46	199	225
47	200	217
48	202	210
49	203	203
50	204	196
51	204	189
52	205	182
53	206	176
54	208	170
55	209	164
56	210	158
57	211	153
58	213	148
59	214	142
60	214	137
61	215	132
62	216	127
63	217	122
64	218	117
65	219	113
66	220	108
67	221	104
68	223	100
69	224	96
70	225	92
71	226	88
72	228	84
73	229	80
74	229	76
75	230	72
76	231	69
77	232	65
78	233	62
79	234	58
80	235	55
81	237	52
82	238	48
83	239	45
84	240	42
85	241	39
86	242	36
87	243	33
88	244	30
89	245	27
90	247	24
91	247	21
92	249	18
93	250	16
94	252	13
95	253	10
96	254	7
97	255	5
98	256	2
99	257	0
